ID,nextID,name,speaker,Textbox_type,Text_KR,Text_EN,Text_JP,Stage
100033,100034,시드,10201,0,…,...,...,Tutorial_cg1
100034,100035,시드,10201,0,그렇다면 다행이야.,"Well, that's a relief.",…それならよかった。,Tutorial_cg1
100035,100036,시드,10201,0,"그럼, 이제 일을 시작해 보자.","Then, let’s get to work.",じゃあ、そろそろ仕事を始めようか。,Tutorial_cg1
100036,100037,에스트,10101,0,잠깐! 아직 이해가 안 된 게 있어!,Wait a minute! I still don't get it. ,ちょっと待って！ まだ納得できてないことがあるよ！,Tutorial_cg1
100037,100038,에스트,10101,0,행복나무가 날 데려온 게 왜 내가 일을 해야 할 이유야?,Why does the Tree of Happiness bringing me here mean I have to do this?,「幸せの木」が僕を連れてきたことが、どうして仕事をすべき理由になるの？,Tutorial_cg1
100038,100039,시드,10201,0,…네가 행복을 바라서 행복 나무가 널 데려온 거야.,"Because you wished for happiness, and the Tree of Happiness brought you here.",…君が幸せを願ったから、「幸せの木」が君を連れてきたんだ。,Tutorial_cg1
100039,100040,에스트,10101,0,…혹시 꿈꾸는 거야?,Am I dreaming?,…もしかして夢でも見てるの？,Tutorial_cg1
100040,100041,시드,10201,0,그럴 리가. 잠시 우리를 도와주러 네가 오게 된 거지.,Not at all. You’ve just come here to help us for a while.,そんなわけないだろ。しばらく僕たちを手伝うために、君がここに来たんだよ。,Tutorial_cg1
100041,100042,시드,10201,0,정 이유가 필요하다면…,If you really need a reason... ,どうしても理由が必要なら…,Tutorial_cg1
100042,100043,시드,10201,0,"우리의 일을 도와주다 보면, 이곳에서 나가게 도와줄게.","help us with our work, and we’ll help you find a way out of here.",僕たちの仕事を手伝ってくれたら、ここから出られるようにしてあげるよ。,Tutorial_cg1
100043,100044,시드,10201,0,이유가 됐을까?,Is that reason enough?,これじゃ理由になるかな？,Tutorial_cg1
100044,100045,에스트,10101,0,…어…그래. 알았어.,...Uh... yeah. Okay.,…あ…うん、わかったよ。,Tutorial_cg1
100045,100046,시드,10201,0,좋아. 따라와..,Good. Follow me.,よし。ついてきて。,Tutorial_cg1
